Feature,Importance
avg_distance,0.08315837519521135
density_left,0.0812000216862377
std_distance,0.07908947284398103
max_distance,0.07292136564571151
num_holds,0.05367391999453881
min_distance,0.03795775360986126
num_finish_holds,0.03782043789131489
density_top,0.031641870118002326
density_right,0.0260576563806656
is_listed,0.024000865282135846
num_start_holds,0.022986770674555797
density_bottom,0.01831603366746906
grid_3_3,0.016350437134752836
grid_1_3,0.013080259709267392
grid_5_5,0.012558230106547916
grid_6_2,0.012485710936673292
is_benchmark,0.012430039518890778
grid_3_5,0.011500284495463734
grid_3_4,0.011404294681312098
grid_4_5,0.011163409534166144
grid_6_4,0.010863410522470906
grid_1_4,0.01075074552114275
grid_6_5,0.009981002891321367
grid_5_4,0.009834508780487073
grid_4_3,0.009546208601394572
grid_4_4,0.00950732043771764
grid_5_2,0.009445317929773944
grid_2_3,0.009097993961527344
grid_7_3,0.009013404918743516
grid_2_5,0.009004452971944866
grid_0_3,0.008960106145060173
grid_3_2,0.008935012613100566
grid_0_2,0.008686044373487982
grid_2_4,0.008539854319932646
grid_0_6,0.008480867997620217
grid_4_7,0.007965013514584722
grid_5_3,0.007845915482201751
grid_3_7,0.0075454455470668055
grid_4_2,0.007272772126280463
grid_0_5,0.006926239294035041
grid_1_6,0.0068911946968778955
grid_3_8,0.0068577489102131725
grid_5_7,0.006793344474252956
grid_2_6,0.0066587693127646355
grid_1_7,0.0065015821822800276
grid_0_7,0.006473164570260881
grid_7_4,0.006414387643273905
grid_1_2,0.006393417526762743
grid_2_7,0.00627651063606087
grid_6_7,0.006105103616115089
grid_6_3,0.006027475565090074
grid_5_6,0.006002257147877066
grid_3_6,0.0059115268754622715
grid_4_6,0.00547843434261225
grid_0_4,0.0054627034680768275
grid_2_2,0.005091028795251359
grid_7_2,0.0050237131415355775
grid_1_5,0.0045043796887944
grid_7_5,0.0042217949212739634
grid_0_8,0.004091820753359915
grid_5_8,0.0036780959802248563
grid_4_8,0.0036489522977963132
grid_7_6,0.0035930271159700495
grid_7_7,0.0032158070313910046
grid_6_6,0.002945651972096499
grid_2_8,0.00287155792908569
grid_0_9,0.002821810261751846
grid_1_8,0.002586196608112265
grid_1_1,0.0008126200430167605
grid_1_9,0.0007002955648229618
grid_2_1,0.0006711479077001581
grid_1_0,0.0006402246731045597
grid_0_1,0.0006208114173638014
grid_3_9,0.0006116006268509735
grid_2_9,0.000599010150685671
grid_0_0,0.0005364759306463621
grid_11_3,0.0005010961691529386
grid_3_1,0.000491108371866212
grid_4_1,0.00043776607415975307
grid_5_9,0.00040454789034889785
grid_4_9,0.000399897599712699
grid_6_9,0.00020251672574224334
grid_9_3,0.000185685706046934
grid_10_6,0.00017053413476701728
grid_5_1,0.00016058358167533914
grid_8_4,0.00011465190693987265
grid_3_10,0.00011062491998549961
grid_0_10,0.00011048315381860026
grid_6_8,0.00010253510210412448
grid_9_4,8.78235443674155e-05
grid_10_4,8.704253840127158e-05
grid_7_8,7.845378212769842e-05
grid_1_10,7.479571196383242e-05
grid_2_10,6.382778362195939e-05
grid_10_3,5.924801758784153e-05
grid_11_5,4.496199557220444e-05
grid_8_7,4.476628621403512e-05
grid_9_7,4.224193585774322e-05
grid_9_5,3.599035337827757e-05
grid_4_10,3.3296172782457396e-05
grid_9_6,2.7999147708800446e-05
grid_8_8,2.7637569662683636e-05
grid_11_7,2.7189403323141876e-05
grid_9_8,2.6682452523190292e-05
grid_11_4,2.5300580568777445e-05
grid_10_5,2.3645843028590063e-05
grid_10_8,2.2164749039906065e-05
grid_8_3,1.599357076593148e-05
grid_8_5,1.4231643443615023e-05
grid_10_7,5.692910076707783e-06
grid_8_6,3.5531690249557e-06
grid_11_6,2.9386671693430968e-06
grid_2_11,0.0
grid_3_11,0.0
grid_4_11,0.0
grid_5_0,0.0
grid_6_11,0.0
grid_7_11,0.0
grid_6_1,0.0
grid_6_0,0.0
grid_5_11,0.0
grid_5_10,0.0
grid_8_2,0.0
grid_9_2,0.0
grid_8_10,0.0
grid_8_11,0.0
grid_10_2,0.0
grid_11_8,0.0
grid_11_2,0.0
grid_10_9,0.0
