grade,mean_error,std_error,count
0,4.2364077840562215,1.9499861859997183,112
1,3.0374546924186925,1.2106576757076284,125
2,2.3804367591602107,1.0633533818718393,113
3,1.505052867339632,1.0572614778858247,306
4,0.8422663596801298,0.9597559859976925,374
5,0.15661906893288022,1.0532621333122691,429
6,-0.6898233638690369,0.8868926839568557,260
7,-1.6615391816443403,0.8612079432645584,189
8,-2.46879526534072,0.8593743947489305,187
9,-3.175924158306971,0.8929048430387329,64
10,-3.9421474418438707,1.155925743280653,42
11,-5.1542157974300835,0.9464172381213307,21
12,-5.973668908472481,0.6937028088821171,14
16,-9.423494276556777,2.1216622548872848,28
